回数,step,種類,青時間(秒)
3,1271,主道路,69
5,1409,主道路,50
7,1511,主道路,69
9,1649,主道路,50
11,1751,主道路,69
13,1889,主道路,50
15,1991,主道路,69
17,2129,主道路,50
19,2231,主道路,69
21,2369,主道路,50
23,2471,主道路,69
25,2609,主道路,50
27,2711,主道路,69
29,2849,主道路,50
31,2951,主道路,69
33,3089,主道路,50
35,3191,主道路,69
37,3329,主道路,50
39,3431,主道路,69
41,3569,主道路,50
43,3671,主道路,69
45,3809,主道路,50
47,3911,主道路,69
49,4049,主道路,50
51,4151,主道路,69
53,4289,主道路,50
55,4391,主道路,69
57,4529,主道路,50
59,4631,主道路,69
61,4769,主道路,50
63,4871,主道路,69
65,5009,主道路,50
67,5111,主道路,69
69,5249,主道路,50
71,5351,主道路,69
73,5489,主道路,50
75,5591,主道路,69
77,5729,主道路,50
79,5831,主道路,69
81,5969,主道路,50
83,6071,主道路,69
85,6209,主道路,50
87,6311,主道路,69
89,6449,主道路,50
91,6551,主道路,69
93,6689,主道路,50
95,6791,主道路,69
97,6929,主道路,50
99,7031,主道路,69
101,7169,主道路,50
103,7271,主道路,69
105,7409,主道路,50
107,7511,主道路,69
109,7649,主道路,50
111,7751,主道路,69
113,7889,主道路,50
115,7991,主道路,69
117,8129,主道路,50
119,8231,主道路,69
121,8369,主道路,50
123,8471,主道路,69
125,8609,主道路,50
127,8711,主道路,69
129,8849,主道路,50
131,8951,主道路,69
133,9089,主道路,50
135,9191,主道路,69
137,9329,主道路,50
139,9431,主道路,69
141,9569,主道路,50
143,9671,主道路,69
145,9809,主道路,50
147,9911,主道路,69
149,10049,主道路,50
151,10151,主道路,69
153,10289,主道路,50
155,10391,主道路,69
157,10529,主道路,50
159,10631,主道路,69
161,10769,主道路,50
163,10871,主道路,69
165,11009,主道路,50
167,11111,主道路,69
169,11249,主道路,50
171,11351,主道路,69
173,11489,主道路,50
175,11591,主道路,69
177,11729,主道路,50
179,11831,主道路,69
181,11969,主道路,50
183,12071,主道路,69
185,12209,主道路,50
187,12311,主道路,69
189,12449,主道路,50
191,12551,主道路,69
193,12689,主道路,50
195,12791,主道路,69
197,12929,主道路,50
199,13031,主道路,69
201,13169,主道路,50
203,13271,主道路,69
205,13409,主道路,50
207,13511,主道路,69
209,13649,主道路,50
211,13751,主道路,69
213,13889,主道路,50
215,13991,主道路,69
217,14129,主道路,50
219,14231,主道路,69
221,14369,主道路,50
223,14471,主道路,69
225,14609,主道路,50
227,14711,主道路,69
229,14849,主道路,50
231,14951,主道路,69
233,15089,主道路,50
235,15191,主道路,69
237,15329,主道路,50
239,15431,主道路,69
241,15569,主道路,50
243,15671,主道路,69
245,15809,主道路,50
247,15911,主道路,69
249,16049,主道路,50
251,16151,主道路,69
253,16289,主道路,50
255,16391,主道路,69
257,16529,主道路,50
259,16631,主道路,69
261,16769,主道路,50
263,16871,主道路,69
265,17009,主道路,50
267,17111,主道路,69
269,17249,主道路,50
271,17351,主道路,69
273,17489,主道路,50
275,17591,主道路,69
277,17729,主道路,50
279,17831,主道路,69
281,17969,主道路,50
283,18071,主道路,69
285,18209,主道路,50
287,18311,主道路,69
289,18449,主道路,50
291,18551,主道路,69
293,18689,主道路,50
295,18791,主道路,69
297,18929,主道路,50
299,19031,主道路,69
301,19169,主道路,50
303,19271,主道路,69
305,19409,主道路,50
307,19511,主道路,69
309,19649,主道路,50
311,19751,主道路,69
313,19889,主道路,50
315,19991,主道路,69
317,20129,主道路,50
319,20231,主道路,69
321,20369,主道路,50
323,20471,主道路,69
325,20609,主道路,50
327,20711,主道路,69
329,20849,主道路,50
331,20951,主道路,69
333,21089,主道路,50
335,21191,主道路,69
337,21329,主道路,50
339,21431,主道路,69
341,21569,主道路,50
343,21671,主道路,69
345,21809,主道路,50
347,21911,主道路,69
349,22049,主道路,50
351,22151,主道路,69
353,22289,主道路,50
355,22391,主道路,69
357,22529,主道路,50
359,22631,主道路,69
361,22769,主道路,50
363,22871,主道路,69
365,23009,主道路,50
367,23111,主道路,69
369,23249,主道路,66
371,23367,主道路,53
373,23489,主道路,50
375,23591,主道路,69
377,23729,主道路,50
379,23831,主道路,69
381,23969,主道路,50
383,24071,主道路,69
385,24209,主道路,69
387,24329,主道路,51
389,24449,主道路,50
391,24551,主道路,69
393,24689,主道路,50
395,24791,主道路,69
397,24929,主道路,69
399,25049,主道路,51
401,25169,主道路,51
403,25271,主道路,69
405,25409,主道路,50
407,25511,主道路,69
409,25649,主道路,69
411,25769,主道路,51
413,25889,主道路,50
415,25996,主道路,69
417,26129,主道路,69
419,26249,主道路,51
421,26369,主道路,51
423,26471,主道路,69
425,26609,主道路,50
427,26711,主道路,69
429,26849,主道路,50
431,26951,主道路,69
433,27089,主道路,50
435,27191,主道路,69
437,27329,主道路,50
439,27431,主道路,69
441,27569,主道路,50
443,27671,主道路,69
445,27809,主道路,50
447,27911,主道路,69
449,28049,主道路,50
451,28151,主道路,69
453,28289,主道路,50
455,28391,主道路,69
457,28529,主道路,50
459,28631,主道路,69
461,28769,主道路,50
463,28871,主道路,69
465,29009,主道路,50
467,29111,主道路,69
469,29249,主道路,50
471,29351,主道路,69
473,29489,主道路,50
475,29591,主道路,69
477,29729,主道路,50
479,29831,主道路,69
481,29969,主道路,50
483,30071,主道路,69
485,30209,主道路,50
487,30311,主道路,69
489,30449,主道路,50
491,30551,主道路,69
493,30689,主道路,50
495,30791,主道路,69
497,30929,主道路,50
499,31031,主道路,69
501,31169,主道路,50
503,31271,主道路,69
505,31409,主道路,50
507,31511,主道路,69
509,31649,主道路,50
511,31751,主道路,69
513,31889,主道路,50
515,31991,主道路,69
517,32129,主道路,50
519,32231,主道路,69
521,32369,主道路,50
523,32471,主道路,69
525,32609,主道路,50
527,32711,主道路,69
529,32849,主道路,50
531,32951,主道路,69
533,33089,主道路,50
535,33191,主道路,69
537,33329,主道路,50
539,33431,主道路,69
541,33569,主道路,50
543,33671,主道路,69
545,33809,主道路,50
547,33911,主道路,69
549,34049,主道路,50
551,34151,主道路,69
553,34289,主道路,50
555,34391,主道路,69
557,34529,主道路,50
559,34631,主道路,69
561,34769,主道路,50
563,34871,主道路,69
565,35009,主道路,50
567,35111,主道路,69
569,35249,主道路,50
571,35351,主道路,69
573,35489,主道路,50
575,35591,主道路,69
577,35729,主道路,50
579,35831,主道路,69
581,35969,主道路,50
583,36071,主道路,69
585,36209,主道路,50
587,36311,主道路,69
589,36449,主道路,50
591,36551,主道路,69
593,36689,主道路,50
595,36791,主道路,69
597,36929,主道路,50
599,37031,主道路,69
601,37169,主道路,50
603,37271,主道路,69
605,37409,主道路,50
607,37511,主道路,69
609,37649,主道路,50
611,37751,主道路,69
613,37889,主道路,50
615,37991,主道路,69
617,38129,主道路,50
619,38231,主道路,69
621,38369,主道路,50
623,38471,主道路,69
625,38609,主道路,50
627,38711,主道路,69
629,38849,主道路,50
631,38951,主道路,69
633,39089,主道路,50
635,39191,主道路,69
637,39329,主道路,50
639,39431,主道路,69
641,39569,主道路,50
643,39671,主道路,69
645,39809,主道路,50
647,39911,主道路,69
649,40049,主道路,50
651,40151,主道路,69
653,40289,主道路,50
655,40391,主道路,69
657,40529,主道路,50
659,40631,主道路,69
661,40769,主道路,50
663,40871,主道路,69
665,41009,主道路,50
667,41111,主道路,69
669,41249,主道路,50
671,41351,主道路,69
673,41489,主道路,50
675,41591,主道路,69
677,41729,主道路,50
679,41831,主道路,69
681,41969,主道路,50
683,42071,主道路,69
685,42209,主道路,50
687,42311,主道路,69
689,42449,主道路,50
691,42551,主道路,69
693,42689,主道路,50
695,42791,主道路,69
697,42929,主道路,50
699,43031,主道路,69
701,43169,主道路,50
703,43271,主道路,69
705,43409,主道路,50
707,43511,主道路,69
709,43649,主道路,50
711,43751,主道路,69
713,43889,主道路,50
715,43991,主道路,69
717,44129,主道路,50
719,44231,主道路,69
721,44369,主道路,50
723,44471,主道路,69
725,44609,主道路,50
727,44711,主道路,69
729,44849,主道路,50
731,44951,主道路,69
733,45089,主道路,50
735,45191,主道路,69
737,45329,主道路,50
739,45431,主道路,69
741,45569,主道路,50
743,45671,主道路,69
745,45809,主道路,50
747,45911,主道路,69
749,46049,主道路,50
751,46151,主道路,69
753,46289,主道路,50
755,46391,主道路,69
757,46529,主道路,50
759,46631,主道路,69
761,46769,主道路,50
763,46871,主道路,69
765,47009,主道路,50
767,47111,主道路,69
769,47249,主道路,50
771,47351,主道路,69
773,47489,主道路,50
775,47591,主道路,69
777,47729,主道路,50
779,47831,主道路,69
781,47969,主道路,55
783,48076,主道路,64
785,48209,主道路,50
787,48311,主道路,69
789,48449,主道路,50
791,48551,主道路,69
793,48689,主道路,50
795,48791,主道路,69
797,48929,主道路,50
799,49031,主道路,69
801,49169,主道路,50
803,49271,主道路,69
805,49409,主道路,50
807,49511,主道路,69
809,49649,主道路,50
811,49751,主道路,69
813,49889,主道路,50
815,49991,主道路,69
817,50129,主道路,50
819,50231,主道路,69
821,50369,主道路,50
823,50471,主道路,69
825,50609,主道路,50
827,50711,主道路,69
829,50849,主道路,50
831,50951,主道路,69
833,51089,主道路,50
835,51191,主道路,69
837,51329,主道路,50
839,51431,主道路,69
841,51569,主道路,50
843,51671,主道路,69
845,51809,主道路,50
847,51911,主道路,69
849,52049,主道路,50
851,52151,主道路,69
853,52289,主道路,50
855,52391,主道路,69
857,52529,主道路,50
859,52631,主道路,69
861,52769,主道路,50
863,52871,主道路,69
865,53009,主道路,50
867,53111,主道路,69
869,53249,主道路,50
871,53351,主道路,69
873,53489,主道路,50
875,53591,主道路,69
877,53729,主道路,55
879,53836,主道路,64
881,53969,主道路,50
883,54071,主道路,69
885,54209,主道路,50
887,54311,主道路,69
889,54449,主道路,50
891,54551,主道路,69
893,54689,主道路,50
895,54791,主道路,69
897,54929,主道路,50
899,55031,主道路,69
901,55169,主道路,50
903,55271,主道路,69
905,55409,主道路,50
907,55511,主道路,69
909,55649,主道路,50
911,55751,主道路,69
913,55889,主道路,50
915,55991,主道路,69
917,56129,主道路,50
919,56231,主道路,69
921,56369,主道路,50
923,56471,主道路,69
925,56609,主道路,50
927,56711,主道路,69
929,56849,主道路,50
931,56951,主道路,69
933,57089,主道路,50
935,57191,主道路,69
937,57329,主道路,50
939,57431,主道路,69
941,57569,主道路,50
943,57671,主道路,69
945,57809,主道路,50
947,57911,主道路,69
949,58049,主道路,50
951,58151,主道路,69
953,58289,主道路,50
955,58391,主道路,69
957,58529,主道路,50
959,58631,主道路,69
961,58769,主道路,50
963,58871,主道路,69
965,59009,主道路,50
967,59111,主道路,69
969,59249,主道路,50
971,59351,主道路,69
973,59489,主道路,50
975,59591,主道路,69
977,59729,主道路,50
979,59831,主道路,69
981,59969,主道路,50
983,60071,主道路,69
985,60209,主道路,50
987,60311,主道路,69
989,60449,主道路,50
991,60551,主道路,69
993,60689,主道路,50
995,60791,主道路,69
997,60929,主道路,50
999,61031,主道路,69
1001,61169,主道路,50
1003,61271,主道路,69
1005,61409,主道路,50
1007,61511,主道路,69
1009,61649,主道路,50
1011,61751,主道路,69
1013,61889,主道路,50
1015,61996,主道路,69
1017,62129,主道路,50
1019,62231,主道路,69
1021,62369,主道路,50
1023,62471,主道路,69
1025,62609,主道路,50
1027,62711,主道路,69
1029,62849,主道路,50
1031,62951,主道路,69
1033,63089,主道路,50
1035,63191,主道路,69
1037,63329,主道路,50
1039,63431,主道路,69
1041,63569,主道路,50
1043,63671,主道路,69
1045,63809,主道路,50
1047,63911,主道路,69
1049,64049,主道路,50
1051,64151,主道路,69
1053,64289,主道路,50
1055,64391,主道路,69
1057,64529,主道路,69
1059,64649,主道路,51
1061,64769,主道路,50
1063,64871,主道路,69
1065,65009,主道路,50
1067,65111,主道路,69
1069,65249,主道路,50
1071,65351,主道路,69
1073,65489,主道路,50
1075,65591,主道路,69
1077,65729,主道路,50
1079,65831,主道路,69
1081,65969,主道路,50
1083,66071,主道路,69
1085,66209,主道路,50
1087,66311,主道路,69
1089,66449,主道路,50
1091,66551,主道路,69
1093,66689,主道路,50
1095,66791,主道路,69
1097,66929,主道路,50
1099,67031,主道路,69
1101,67169,主道路,50
1103,67271,主道路,69
1105,67409,主道路,50
1107,67511,主道路,69
1109,67649,主道路,50
1111,67751,主道路,69
1113,67889,主道路,50
1115,67991,主道路,69
1117,68129,主道路,50
1119,68231,主道路,69
1121,68369,主道路,50
1123,68471,主道路,69
1125,68609,主道路,50
1127,68711,主道路,69
1129,68849,主道路,50
1131,68951,主道路,69
1133,69089,主道路,50
1135,69191,主道路,69
1137,69329,主道路,50
1139,69431,主道路,69
1141,69569,主道路,50
1143,69671,主道路,69
1145,69809,主道路,50
1147,69911,主道路,69
1149,70049,主道路,50
1151,70151,主道路,69
1153,70289,主道路,50
1155,70391,主道路,69
1157,70529,主道路,50
1159,70631,主道路,69
1161,70769,主道路,50
1163,70871,主道路,69
1165,71009,主道路,50
1167,71111,主道路,69
1169,71249,主道路,50
1171,71351,主道路,69
1173,71489,主道路,50
1175,71591,主道路,69
1177,71729,主道路,50
1179,71831,主道路,69
1181,71969,主道路,50
1183,72071,主道路,69
1185,72209,主道路,50
1187,72311,主道路,69
1189,72449,主道路,50
1191,72551,主道路,69
1193,72689,主道路,50
1195,72791,主道路,69
1197,72929,主道路,50
1199,73031,主道路,69
1201,73169,主道路,50
1203,73271,主道路,69
1205,73409,主道路,50
1207,73511,主道路,69
1209,73649,主道路,50
1211,73751,主道路,69
1213,73889,主道路,50
1215,73991,主道路,69
1217,74129,主道路,50
1219,74231,主道路,69
1221,74369,主道路,50
1223,74471,主道路,69
1225,74609,主道路,50
1227,74711,主道路,69
1229,74849,主道路,50
1231,74951,主道路,69
1233,75089,主道路,50
1235,75191,主道路,69
1237,75329,主道路,50
1239,75431,主道路,69
1241,75569,主道路,50
1243,75671,主道路,69
1245,75809,主道路,50
1247,75911,主道路,69
1249,76049,主道路,50
1251,76151,主道路,69
1253,76289,主道路,50
1255,76391,主道路,69
1257,76529,主道路,50
1259,76631,主道路,69
1261,76769,主道路,50
1263,76871,主道路,69
1265,77009,主道路,50
1267,77111,主道路,69
1269,77249,主道路,50
1271,77351,主道路,69
1273,77489,主道路,50
1275,77591,主道路,69
1277,77729,主道路,50
1279,77831,主道路,69
1281,77969,主道路,50
1283,78071,主道路,69
1285,78209,主道路,50
1287,78311,主道路,69
1289,78449,主道路,50
1291,78551,主道路,69
1293,78689,主道路,50
1295,78791,主道路,69
