回数,step,種類,青時間(秒)
2,1237.0,従道路,16.0
4,1357.0,従道路,35.0
6,1477.0,従道路,16.0
8,1597.0,従道路,35.0
10,1717.0,従道路,16.0
12,1837.0,従道路,35.0
14,1957.0,従道路,16.0
16,2077.0,従道路,35.0
18,2197.0,従道路,16.0
20,2317.0,従道路,35.0
22,2437.0,従道路,16.0
24,2557.0,従道路,35.0
26,2677.0,従道路,16.0
28,2797.0,従道路,35.0
30,2917.0,従道路,16.0
32,3037.0,従道路,35.0
34,3157.0,従道路,16.0
36,3277.0,従道路,35.0
38,3397.0,従道路,16.0
40,3517.0,従道路,35.0
42,3637.0,従道路,16.0
44,3757.0,従道路,35.0
46,3877.0,従道路,16.0
48,3997.0,従道路,35.0
50,4117.0,従道路,16.0
52,4237.0,従道路,35.0
54,4357.0,従道路,16.0
56,4477.0,従道路,35.0
58,4597.0,従道路,16.0
60,4717.0,従道路,35.0
62,4837.0,従道路,16.0
64,4957.0,従道路,35.0
66,5077.0,従道路,16.0
68,5197.0,従道路,35.0
70,5317.0,従道路,16.0
72,5437.0,従道路,35.0
74,5557.0,従道路,16.0
76,5677.0,従道路,35.0
78,5797.0,従道路,16.0
80,5917.0,従道路,35.0
82,6037.0,従道路,16.0
84,6157.0,従道路,35.0
86,6277.0,従道路,16.0
88,6397.0,従道路,35.0
90,6517.0,従道路,16.0
92,6637.0,従道路,35.0
94,6757.0,従道路,16.0
96,6877.0,従道路,35.0
98,6997.0,従道路,16.0
100,7117.0,従道路,35.0
102,7237.0,従道路,16.0
104,7357.0,従道路,35.0
106,7477.0,従道路,16.0
108,7597.0,従道路,35.0
110,7717.0,従道路,16.0
112,7837.0,従道路,35.0
114,7957.0,従道路,16.0
116,8077.0,従道路,35.0
118,8197.0,従道路,16.0
120,8317.0,従道路,35.0
122,8437.0,従道路,16.0
124,8557.0,従道路,35.0
126,8677.0,従道路,16.0
128,8797.0,従道路,35.0
130,8917.0,従道路,16.0
132,9037.0,従道路,35.0
134,9157.0,従道路,16.0
136,9277.0,従道路,35.0
138,9397.0,従道路,16.0
140,9517.0,従道路,35.0
142,9637.0,従道路,16.0
144,9757.0,従道路,35.0
146,9877.0,従道路,16.0
148,9997.0,従道路,35.0
150,10117.0,従道路,16.0
152,10237.0,従道路,35.0
154,10357.0,従道路,16.0
156,10477.0,従道路,35.0
158,10597.0,従道路,16.0
160,10717.0,従道路,35.0
162,10837.0,従道路,16.0
164,10957.0,従道路,35.0
166,11077.0,従道路,16.0
168,11197.0,従道路,35.0
170,11317.0,従道路,16.0
172,11437.0,従道路,35.0
174,11557.0,従道路,16.0
176,11677.0,従道路,35.0
178,11797.0,従道路,16.0
180,11917.0,従道路,35.0
182,12037.0,従道路,16.0
184,12157.0,従道路,35.0
186,12277.0,従道路,16.0
188,12397.0,従道路,35.0
190,12517.0,従道路,16.0
192,12637.0,従道路,35.0
194,12757.0,従道路,16.0
196,12877.0,従道路,35.0
198,12997.0,従道路,16.0
200,13117.0,従道路,35.0
202,13237.0,従道路,16.0
204,13357.0,従道路,35.0
206,13477.0,従道路,16.0
208,13597.0,従道路,35.0
210,13717.0,従道路,16.0
212,13837.0,従道路,35.0
214,13957.0,従道路,16.0
216,14077.0,従道路,35.0
218,14197.0,従道路,16.0
220,14317.0,従道路,35.0
222,14437.0,従道路,16.0
224,14557.0,従道路,35.0
226,14677.0,従道路,16.0
228,14797.0,従道路,35.0
230,14917.0,従道路,16.0
232,15037.0,従道路,35.0
234,15157.0,従道路,16.0
236,15277.0,従道路,35.0
238,15397.0,従道路,16.0
240,15517.0,従道路,35.0
242,15637.0,従道路,16.0
244,15757.0,従道路,35.0
246,15877.0,従道路,16.0
248,15997.0,従道路,35.0
250,16117.0,従道路,16.0
252,16237.0,従道路,35.0
254,16357.0,従道路,16.0
256,16477.0,従道路,35.0
258,16597.0,従道路,16.0
260,16717.0,従道路,35.0
262,16837.0,従道路,16.0
264,16957.0,従道路,35.0
266,17077.0,従道路,16.0
268,17197.0,従道路,35.0
270,17317.0,従道路,16.0
272,17437.0,従道路,35.0
274,17557.0,従道路,16.0
276,17677.0,従道路,35.0
278,17797.0,従道路,16.0
280,17917.0,従道路,35.0
282,18037.0,従道路,16.0
284,18157.0,従道路,35.0
286,18277.0,従道路,16.0
288,18397.0,従道路,35.0
290,18517.0,従道路,16.0
292,18637.0,従道路,35.0
294,18757.0,従道路,16.0
296,18877.0,従道路,35.0
298,18997.0,従道路,16.0
300,19117.0,従道路,35.0
302,19237.0,従道路,16.0
304,19357.0,従道路,35.0
306,19477.0,従道路,16.0
308,19597.0,従道路,35.0
310,19717.0,従道路,16.0
312,19837.0,従道路,35.0
